15及以上人口,男,52943450
15及以上人口,女,52598793
男,未婚,13072317
男,有配偶,37255009
男,离婚,814364
男,丧偶,1801760
女,未婚,9720483
女,有配偶,38032850
女,离婚,641919
女,丧偶,4203541
有配偶,15-29岁,24073517
未婚,15-29岁,32024733
丧偶,15-29岁,30537
离婚,15-29岁,385655
有配偶,30-49岁,38739308
未婚,30-49岁,3553905
丧偶,30-49岁,168872
离婚,30-49岁,1579338
有配偶,50-69岁,28726446
未婚,50-69岁,1237650
丧偶,50-69岁,2142727
离婚,50-69岁,1063374

